salesanalysis,Design,Category_Code,VOCNO
1,DIAMOND BRACELET,BT,624
1,DIAMOND EARRING,ER,624
1,DIAMOND PENDANT,PN,624
1,DIAMOND RING,RN,624
1,DIAMOND RING,RN,641
1,DIAMOND PENDANT,PN,642
1,Jewellery,,35
1,DIAMOND RING,RN,667
1,,,667
1,DIAMOND RING,RN,601
1,DIAMOND RING,RN,602
1,DIAMOND BRACELET,BT,653
1,DIAMOND BRACELET,BR,653
1,GOLD RING,RN,629
1,GOLD RING,RN,623
1,GOLD NECKLACE,NK,623
1,DIAMOND EARRING,ER,626
1,DIAMOND RING,RN,626
1,DIAMOND PENDANT,PN,626
1,DIAMOND BRACELET,BT,638
1,DIAMOND RING,RN,655
1,DIAMOND RING,RN,657
1,DIAMOND RING,RN,36
1,DIAMOND RING,RN,671
1,DIAMOND BANGLE,BN,660
1,DIAMOND RING,RN,660
1,DIAMOND RING,RN,665
1,DIAMOND RING,RN,670
1,DIAMOND PENDANT,PN,676
1,GOLD BRACELET,BR,9
1,DIAMOND PENDANT,PN,9
1,DIAMOND PENDANT,PN,9
1,GOLD NECKLACE,NK,9
1,DIAMOND RING,RN,10
1,DIAMOND RING,RN,320
1,DIAMOND EARRING,ER,319
1,DIAMOND RING,RN,284
1,,,354
1,DIAMOND BANGLE,BN,347
1,DIAMOND BRACELET,BT,369
1,DIAMOND,NK,285
1,DIAMOND RING,RN,285
1,DIAMOND RING,RN,11
1,DIAMOND RING,RN,296
1,DIAMOND BANGLE,BN,349
1,DIAMOND RING,RN,289
1,DIAMOND BANGLE,BN,297
1,DIAMOND PENDENT,PN,301
1,DIAMOND RING,,304
1,DIAMOND EARRING,ER,311
1,DIAMOND EARRING,ER,322
1,DIAMOND EARRING,ER,322
1,DIAMOND PENDANT,PN,323
1,DIAMOND RING,RN,323
1,DIAMOND EARRING,ER,323
1,DIAMOND BRACELET,BT,323
1,DIAMOND,BT,344
1,DIAMOND CHOKER NECKLACE,NK,353
1,DIAMOND EARRING,ER,356
1,DIAMOND CUFFLINK,CUF,7
1,DIAMOND,PN,91
1,GOLD PENDANT,PN,91
1,DIAMOND RING,RN,77
1,DIAMOND,BT,79
1,Multi Tourmaline              ,,79
1,Multi Tourmaline              ,,79
1,Diamond Pendant,,112
1,GOLD BRACELET,GBT,114
1,DIAMOND PENDANT,PN,119
1,DIAMOND BRACELET,BT,119
1,DIAMOND PENDANT,PN,121
1,,,127
1,DIAMOND RING,RN,127
1,DIAMOND RING BAN,RN,127
1,DIAMOND PENDANT,PN,132
1,GOLD CHAIN (18KT),DIA,132
1,DIAMOND PENDANT,PN,52
1,,,33
1,Diamond Ring,,34
1,DIAMOND BRACELET,BT,221
1,DIAMOND RING,RN,202
1,DIAMOND CHOKER NECKLACE,NK,202
1,DIAMOND CHOKER NECKLACE,NK,195
1,DIAMOND BRACELET,BT,203
1,DIAMOND BANGLE,BN,218
1,DIAMOND RING,RN,218
1,DIAMOND BANGLE,BN,204
1,DIAMOND BANGLE,BN,204
1,DIAMOND RING,RN,205
1,DIAMOND RING,RN,213
1,DIAMOND EARRING,ER,214
1,DIAMOND EARRING,ER,214
1,DIAMOND BRACELET,BR,217
1,DIAMOND RING,RN,240
1,DIAMOND EARRING,ER,240
1,DIAMOND BRACELET,BT,245
1,DIAMOND RING,RN,251
1,DIAMOND NECKLACE,NK,274
1,Multi Tourmaline              ,,282
1,DIAMOND BRACELET,BT,254
1,DIAMOND RING,RN,260
1,DIAMOND PENDANT,PN,272
1,DIAMOND EARRING,ER,272
1,DIAMOND BRACELET,BT,287
1,DIAMOND BANGLE,BN,263
1,DIAMOND RING,RN,269
1,CHOKER NECKLACE,NK,269
1,GOLD EARRING,ER,271
1,DIAMOND BRACELET,BT,273
1,DIAMOND BRACELET,BT,273
1,DIAMOND EARRING,ER,285
1,DIAMOND BRACELET,BT,257
1,DIAMOND EARRING,ER,103
1,DIAMOND EARRING,ER,103
1,DIAMOND EARRING,ER,101
1,DIAMOND EARRING,ER,131
1,DIAMOND EARRING,ER,6
1,DIAMOND RING,RN,127
1,DIAMOND EARRING,ER,127
1,DIAMOND PENDANT,PN,127
1,Multi Tourmaline              ,,127
1,DIAMOND BANGLE,BN,106
1,DIAMOND RING,RN,106
1,DIAMOND EARRING,ER,106
1,DIAMOND RING,RN,112
1,DIAMOND CHOKER NECKLACE,NK,108
1,DIAMOND PENDANT,PN,351
1,DIAMOND PENDANT,PN,375
1,DIAMOND RING,RN,375
1,GOLD RING,RN,375
1,DIAMOND CHOKER NECKLACE,NK,376
1,DIAMOND,RN,340
1,DIAMOND,RN,14
1,DIAMOND,RN,339
1,DIAMOND BRACELET,BT,333
1,DIAMOND RING,RN,350
1,Multi Tourmaline              ,,13
1,DIAMOND RING,RN,13
1,Multi Tourmaline              ,,341
1,DIAMOND RING,RN,341
1,DIAMOND EARRING,ER,353
1,GOLD EARRING,ER,353
1,DIAMOND BANGLE,BN,353
1,DIAMOND BANGLE,BN,372
1,GOLD BANGLE,BN,366
1,DIAMOND EARRING,RN,345
1,DIAMOND BRACELET,BR,342
1,DIAMOND PENDANT,PN,342
1,DIAMOND EARRING,ER,380
1,DIAMOND RING,RN,380
1,GOLD RING,RN,348
1,DIAMOND RING,RN,356
1,DIAMOND EARRING,ER,356
1,DIAMOND RING,RN,356
1,DIAMOND EARRING,ER,356
1,DIAMOND BRACELET,BT,356
1,DIAMOND RING,RN,356
1,DIAMOND ANKLET,AN,357
1,,,358
1,DIAMOND RING,RN,363
1,DIAMOND RING,RN,363
1,DIAMOND RING,RN,364
1,DIAMOND RING,RN,364
1,DIAMOND RING,RN,714
1,DIAMOND RING,RN,714
1,DIAMOND EARRING,ER,741
1,DIAMOND EARRING,ER,741
1,DIAMOND EARRING,ER,704
1,BLACK ONYX PENDANT,PN,704
1,DIAMOND PENDANT,PN,704
1,DIAMOND AND MOP PENDANT,PN,728
1,DIAMOND AND MOP PENDANT,PN,728
1,DIAMOND PENDANT,PN,728
1,DIAMOND PENDANT,PN,728
1,DIAMOND PENDANT,PN,698
1,Multi Tourmaline              ,,687
1,DIAMOND PENDANT,PN,695
1,Multi Tourmaline              ,,707
1,DIAMOND PENDANT,PN,708
1,DIAMOND BANGLE,BN,719
1,DIAMOND PENDANT,PN,721
1,Diamond Bracelet,,724
1,DIAMOND EARRING,ER,726
1,DIAMOND EARRING,ER,726
1,DIAMOND RING,RN,726
1,DIAMOND BRACELET,BT,729
1,DIAMOND RING,RN,739
1,DIAMOND  RING,RN,740
1,DIAMOND RING,RN,743
1,GOLD EARRING WITH COLOR STONE,ER,749
1,COLORSTONE RING,RN,92
1,DIAMOND PENDANT,PN,98
1,GOLD BANGLE,BN,94
1,GOLD BANGLE,BN,94
1,DIAMOND BANGLE,BN,94
1,Multi Tourmaline              ,,96
1,DIAMOND RING,RN,7
1,DIAMOND BRACELET,BT,7
1,DIAMOND EARRING,ER,95
1,DIAMOND NECKLACE,NK,95
1,DIAMOND NECKLACE,NK,95
1,DIAMOND NECKLACE,NK,95
1,DIAMOND PENDANT,PN,118
1,DIAMOND RING,RN,93
1,DIAMOND RING,RN,93
1,DIAMOND PENDANT,PN,97
1,DIAMOND EARRING,ER,97
1,DIAMOND RING,RN,97
1,DIAMOND RING,RN,91
1,DIAMOND  RING,RN,91
1,DIAMOND  RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND RING,RN,91
1,DIAMOND BANGLE,BN,99
1,DIAMOND BANGLE,BN,99
1,DIAMOND EARRING,ER,1
1,DIAMOND PENDANT,PN,2
1,GOLD EARRING WITH COLOR STONE,ER,2
1,DIAMOND PENDANT,PN,2
1,DIAMOND EARRING,ER,2
1,DIAMOND PENDANT,PN,3
1,DIAMOND RING,RN,5
1,DIAMOND RING,RN,5
1,DIAMOND EARRING,ER,6
1,DIAMOND,BN,12
1,DIAMOND,BN,12
1,GOLD PENDANT,PN,12
1,DIAMOND,BN,12
1,Diamond Ring,,14
1,DIAMOND RING,RN,15
1,DIAMOND,RN,15
1,DIAMOND RING,RN,16
1,DIAMOND RING,RN,17
1,DIAMOND RING,RN,30
1,DIAMOND BANGLE,BN,30
